id,employee_id,trip_id,pickup_date,pickup_time
1830170,1003405,1379151,1/6/2022,12:15
1830171,1003304,1379152,1/5/2022,23:00
1830172,1003404,1379152,1/5/2022,23:00
1830173,1003405,1379152,1/5/2022,23:00
1830174,1001475,1379153,1/6/2022,13:00
1830175,1001475,1379154,1/5/2022,23:00
1830176,1003374,1379155,1/6/2022,12:05
1830177,1003375,1379155,1/6/2022,11:45
1830178,1003381,1379155,1/6/2022,12:05
1830179,1003382,1379155,1/6/2022,12:05
1830180,1003374,1379156,1/5/2022,23:00
1830181,1003375,1379156,1/5/2022,23:00
1830182,1003381,1379156,1/5/2022,23:00
1830183,1003382,1379156,1/5/2022,23:00
1830184,1001002,1379157,1/6/2022,12:40
1830185,1001556,1379157,1/6/2022,12:15
1830186,1003383,1379157,1/6/2022,12:25
1830187,1003403,1379157,1/6/2022,12:00
1830188,1001002,1379158,1/5/2022,23:00
1830189,1001556,1379158,1/5/2022,23:00
1830190,1003383,1379158,1/5/2022,23:00
1830191,1003403,1379158,1/5/2022,23:00
1830192,1003385,1379159,1/6/2022,16:00
1830193,1000657,1379160,1/6/2022,12:20
1830194,1003399,1379160,1/6/2022,12:00
1830195,1000657,1379161,1/5/2022,23:00
1830196,1003399,1379161,1/5/2022,23:00
1830197,1000661,1379162,1/7/2022,12:15
1830198,1000662,1379162,1/7/2022,12:15
1830199,1002113,1379162,1/7/2022,12:15
1830200,1002428,1379162,1/7/2022,12:15
1830201,1000661,1379163,1/6/2022,23:00
1830202,1000662,1379163,1/6/2022,23:00
1830203,1002113,1379163,1/6/2022,23:00
1830204,1002428,1379163,1/6/2022,23:00
1830205,1000658,1379164,1/7/2022,11:50
1830206,1002115,1379164,1/7/2022,11:50
1830207,1003400,1379164,1/7/2022,16:34
1830208,1003401,1379164,1/7/2022,11:30
1830209,1000658,1379165,1/6/2022,23:00
1830210,1002115,1379165,1/6/2022,23:00
1830211,1003400,1379165,1/6/2022,23:00
1830212,1003401,1379165,1/6/2022,23:00
1830213,1003407,1379166,1/7/2022,13:00
1830214,1003408,1379166,1/7/2022,13:25
1830215,1003407,1379167,1/6/2022,23:00
1830216,1003408,1379167,1/6/2022,23:00
1830217,1003304,1379168,1/7/2022,12:30
1830218,1003404,1379168,1/7/2022,12:15
1830219,1003405,1379168,1/7/2022,12:15
1830220,1003304,1379169,1/6/2022,23:00
1830221,1003404,1379169,1/6/2022,23:00
1830222,1003405,1379169,1/6/2022,23:00
1830223,1001475,1379170,1/7/2022,13:00
1830224,1001475,1379171,1/6/2022,23:00
1830225,1003374,1379172,1/7/2022,12:05
1830226,1003375,1379172,1/7/2022,11:45
1830227,1003381,1379172,1/7/2022,12:05
1830228,1003382,1379172,1/7/2022,12:05
1830229,1003374,1379173,1/6/2022,23:00
1830230,1003375,1379173,1/6/2022,23:00
1830231,1003381,1379173,1/6/2022,23:00
1830232,1003382,1379173,1/6/2022,23:00
1830233,1001002,1379174,1/7/2022,12:40
1830234,1001556,1379174,1/7/2022,12:15
1830235,1003383,1379174,1/7/2022,12:25
1830236,1003403,1379174,1/7/2022,12:00
1830237,1001002,1379175,1/6/2022,23:00
1830238,1001556,1379175,1/6/2022,23:00
1830239,1003383,1379175,1/6/2022,23:00
1830240,1003403,1379175,1/6/2022,23:00
1830241,1003385,1379176,1/7/2022,16:00
1830242,1000657,1379177,1/7/2022,12:20
1830243,1003399,1379177,1/7/2022,12:00
1830244,1000657,1379178,1/6/2022,23:00
1830245,1003399,1379178,1/6/2022,23:00
1830246,1000661,1379179,1/8/2022,12:15
1830247,1000662,1379179,1/8/2022,12:15
1830248,1002113,1379179,1/8/2022,12:15
1830249,1002428,1379179,1/8/2022,12:15
1830250,1000661,1379180,1/7/2022,23:00
1830251,1000662,1379180,1/7/2022,23:00
1830252,1002113,1379180,1/7/2022,23:00
1830253,1002428,1379180,1/7/2022,23:00
1830254,1000658,1379181,1/8/2022,11:50
1830255,1002115,1379181,1/8/2022,11:50
1830256,1003400,1379181,1/8/2022,16:34
1830257,1003401,1379181,1/8/2022,11:30
1830258,1000658,1379182,1/7/2022,23:00
1830259,1002115,1379182,1/7/2022,23:00
1830260,1003400,1379182,1/7/2022,23:00
1830261,1003401,1379182,1/7/2022,23:00
1830262,1003407,1379183,1/8/2022,13:00
1830263,1003408,1379183,1/8/2022,13:25
1830264,1003407,1379184,1/7/2022,23:00
1830265,1003408,1379184,1/7/2022,23:00
1830266,1003304,1379185,1/8/2022,12:30
1830267,1003404,1379185,1/8/2022,12:15
1830268,1003405,1379185,1/8/2022,12:15
1830269,1003304,1379186,1/7/2022,23:00
1830270,1003404,1379186,1/7/2022,23:00
1830271,1003405,1379186,1/7/2022,23:00
1830272,1001475,1379187,1/8/2022,13:00
1830273,1001475,1379188,1/7/2022,23:00
1830274,1003374,1379189,1/8/2022,12:05
1830275,1003375,1379189,1/8/2022,11:45
1830276,1003381,1379189,1/8/2022,12:05
1830277,1003382,1379189,1/8/2022,12:05
1830278,1003374,1379190,1/7/2022,23:00
1830279,1003375,1379190,1/7/2022,23:00
1830280,1003381,1379190,1/7/2022,23:00
