id,identifier,trip_date,vehicle_id,driver_id
1393503,Kammanahalli,04/29/23,1000108,1000296
1393504,Kengeri,04/29/23,1000108,1000296
1393505,Kudulu,04/29/23,1000108,1000296
1393506,Nagharbavi,04/29/23,1000108,1000296
1393507,Varthur,04/29/23,1000176,1000301
1393481,Begur,04/28/23,1000233,1000263
1393482,Begur,04/27/23,1000233,1000263
1393483,Hebbal,04/28/23,1000108,1000296
1393484,Hebbal,04/28/23,1000108,1000296
1393485,HSR Layout,04/28/23,1000233,1000263
1393486,Jayadeva,04/27/23,1000233,1000263
1393487,Jayadeva,04/28/23,1000108,1000296
1393488,Kaggadasapura,04/28/23,1000108,1000296
1393489,Kammanahalli,04/28/23,1000108,1000296
1393490,Kengeri,04/28/23,1000108,1000296
1393491,Kudulu,04/28/23,1000108,1000296
1393492,Nagharbavi,04/28/23,1000108,1000296
1393493,Varthur,04/28/23,1000176,1000301
1393480,Arekere,04/28/23,1000108,1000296
1393466,Arekere,04/27/23,1000108,1000296
1393467,Begur,04/27/23,1000233,1000263
1393468,Begur,04/26/23,1000233,1000263
1393469,Hebbal,04/27/23,1000108,1000296
1393470,Hebbal,04/27/23,1000108,1000296
1393471,HSR Layout,04/27/23,1000233,1000263
1393472,Jayadeva,04/26/23,1000108,1000296
1393473,Jayadeva,04/27/23,1000108,1000296
1393474,Kaggadasapura,04/27/23,1000108,1000296
1393475,Kammanahalli,04/27/23,1000108,1000296
1393476,Kengeri,04/27/23,1000108,1000296
1393477,Kudulu,04/27/23,1000108,1000296
1393478,Nagharbavi,04/27/23,1000108,1000296
1393479,Varthur,04/27/23,1000176,1000301
1393510,KR Puram,04/27/23,1000108,1000296
1393511,KR Puram,04/27/23,1000108,1000296
1393533,MG Road To Office,04/27/23,1000225,1000372
1393534,KR Puram,04/27/23,1000108,1000296
1393509,KR Puram,04/26/23,1000108,1000296
1393532,MG Road To Office,04/26/23,1000225,1000372
1393452,Arekere,04/26/23,1000108,1000296
1393453,Begur,04/26/23,1000233,1000263
1393454,Begur,04/25/23,1000233,1000263
1393455,Hebbal,04/26/23,1000108,1000296
1393456,Hebbal,04/26/23,1000108,1000296
1393457,HSR Layout,04/26/23,1000233,1000263
1393458,Jayadeva,04/25/23,1000108,1000296
1393459,Jayadeva,04/26/23,1000108,1000296
1393460,Kaggadasapura,04/26/23,1000108,1000296
1393461,Kammanahalli,04/26/23,1000108,1000296
1393462,Kengeri,04/26/23,1000108,1000296
1393463,Kudulu,04/26/23,1000108,1000296
1393464,Nagharbavi,04/26/23,1000108,1000296
1393465,Varthur,04/26/23,1000108,1000296
1393438,Arekere,04/25/23,1000233,1000263
1393439,Begur,04/25/23,1000233,1000263
1393440,Begur,04/24/23,1000233,1000263
1393441,Hebbal,04/25/23,1000108,1000296
1393442,Hebbal,04/25/23,1000108,1000296
1393443,HSR Layout,04/25/23,1000233,1000263
1393444,Jayadeva,04/24/23,1000108,1000296
1393445,Jayadeva,04/25/23,1000108,1000296
1393446,Kaggadasapura,04/25/23,1000108,1000296
1393447,Kammanahalli,04/25/23,1000108,1000296
1393448,Kengeri,04/25/23,1000108,1000296
1393449,Kudulu,04/25/23,1000108,1000296
1393450,Nagharbavi,04/25/23,1000108,1000296
1393451,Varthur,04/25/23,1000176,1000301
1393531,MG Road To Office,04/25/23,1000225,1000372
1393508,KR Puram,04/24/23,1000108,1000296
1393424,Arekere,04/24/23,1000233,1000263
1393425,Begur,04/24/23,1000233,1000263
1393426,Begur,04/23/23,1000233,1000263
1393427,Hebbal,04/24/23,1000108,1000296
1393428,Hebbal,04/24/23,1000108,1000296
1393429,HSR Layout,04/24/23,1000233,1000263
