id,registration_no,model_id,route_no,driver_id,status,tracking_status,off_duty_start_time,off_duty_end_time,insurance_expiry_date,insurance_company_name,insurance_type,electric
1000146,KA03AD7872,1000003,SD024,1000259,Available,INACTIVE,NULL,NULL,NULL,,,3
1000147,KA51C1057,1000001,MUV001,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,3
1000148,KA11B3435,1000002,SD025,NULL,Deleted,INACTIVE,NULL,NULL,NULL,,,3
1000149,KA01AJ4360,1000001,MUV003,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,3
1000150,KA51A9683,1000000,HB-D001,NULL,Unavailable,INACTIVE,NULL,NULL,NULL,,,3
1000151,KA01AD3314,1000000,HB-D002,1000384,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,3
1000152,KA53D4278,1000003,SD026,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,3
1000154,KA53C5066,1000000,HB-D003,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,3
1000155,KA41C0444,1000003,SD027,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,3
1000163,KA11A2896,1000003,SD028,NULL,Unavailable,INACTIVE,NULL,NULL,NULL,,,3
1000164,KA449017,1000003,SD029,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,3
1000165,KA51D9588,1000003,SD030,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,3
1000166,KA01AH5412,1000003,SD031,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,3
1000167,KA53D3776,1000003,SD032,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000168,KA50A4847,1000002,SD033,1000282,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000169,KA05AH7748,1000003,SD034,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000170,KA53D6064,1000003,SD035,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000171,KA05AH2488,1000003,SD036,NULL,Deleted,INACTIVE,NULL,NULL,NULL,,,NULL
1000172,KA05A7803,1000003,SD037,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
